prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,512,128,256,915.034
16,512,128,512,1610.95
16,512,128,1024,3090.06
16,512,128,2048,6106.38
16,512,128,4096,12144.3
16,512,128,8192,24240.8
16,512,128,16384,48366.7
16,1024,0,0,38.7307
16,1024,1,16,39.0407
16,1024,1,32,39.0617
16,1024,1,64,39.0187
16,1024,1,128,43.958
16,1024,1,256,43.6697
16,1024,1,512,43.9363
16,1024,1,1024,44.7793
16,1024,1,2048,74.4427
16,1024,1,4096,136.46
16,1024,1,8192,258.988
16,1024,1,16384,503.821
16,1024,2,16,48.6087
16,1024,2,32,48.9177
16,1024,2,64,49.2057
16,1024,2,128,52.1283
16,1024,2,256,56.5227
16,1024,2,512,64.3853
16,1024,2,1024,79.1577
16,1024,2,2048,135.734
16,1024,2,4096,249.708
16,1024,2,8192,387.831
16,1024,2,16384,635.065
16,1024,4,16,54.5173
16,1024,4,32,54.9767
16,1024,4,64,55.0187
16,1024,4,128,62.0057
16,1024,4,256,69.878
16,1024,4,512,84.2667
16,1024,4,1024,114.528
16,1024,4,2048,197.1
16,1024,4,4096,362.307
16,1024,4,8192,596.078
16,1024,4,16384,1078.04
16,1024,8,16,70.7203
16,1024,8,32,70.9557
16,1024,8,64,71.8937
16,1024,8,128,87.7557
16,1024,8,256,102.496
16,1024,8,512,123.873
16,1024,8,1024,183.873
16,1024,8,2048,324.332
16,1024,8,4096,580.386
16,1024,8,8192,1094.95
16,1024,8,16384,2134.58
16,1024,16,16,96.7683
16,1024,16,32,97.9313
16,1024,16,64,99.425
16,1024,16,128,123.702
16,1024,16,256,153.409
16,1024,16,512,203.254
16,1024,16,1024,325.677
16,1024,16,2048,587.096
16,1024,16,4096,1152.05
16,1024,16,8192,2279.3
16,1024,16,16384,4711.72
16,1024,32,16,140.257
16,1024,32,32,143.126
16,1024,32,64,144.481
16,1024,32,128,195.265
16,1024,32,256,249.879
16,1024,32,512,383.01
16,1024,32,1024,656.398
16,1024,32,2048,1364.39
16,1024,32,4096,2648.54
16,1024,32,8192,5432.07
16,1024,32,16384,10967.9
16,1024,64,16,224.321
16,1024,64,32,228.941
16,1024,64,64,232.769
16,1024,64,128,339.917
16,1024,64,256,498.882
16,1024,64,512,832.57
16,1024,64,1024,1584.81
16,1024,64,2048,3090.75
16,1024,64,4096,6114.04
16,1024,64,8192,12219.6
16,1024,64,16384,24280.3
16,1024,128,16,398.263
16,1024,128,32,406.413
16,1024,128,64,414.925
16,1024,128,128,650.969
16,1024,128,256,931.098
16,1024,128,512,1617.02
16,1024,128,1024,3104.54
16,1024,128,2048,6120.34
16,1024,128,4096,12155.6
16,1024,128,8192,24268.6
16,1024,128,16384,48377.4
16,2048,0,0,65.761
16,2048,1,16,67.9687
16,2048,1,32,67.915
16,2048,1,64,67.8833
16,2048,1,128,76.1603
16,2048,1,256,75.7547
16,2048,1,512,75.6487
16,2048,1,1024,74.8377
16,2048,1,2048,75.7333
16,2048,1,4096,137.259
16,2048,1,8192,256.716
16,2048,1,16384,504.558
16,2048,2,16,78.294
16,2048,2,32,78.2833
16,2048,2,64,79.0827
16,2048,2,128,82.6987
16,2048,2,256,85.4723
16,2048,2,512,92.758
16,2048,2,1024,109.771
16,2048,2,2048,139.66
16,2048,2,4096,254.402
16,2048,2,8192,476.771
16,2048,2,16384,741.199
16,2048,4,16,84.278
16,2048,4,32,83.8297
16,2048,4,64,84.1927
16,2048,4,128,90.8273
16,2048,4,256,98.4327
16,2048,4,512,113.568
16,2048,4,1024,144.075
16,2048,4,2048,204.236
16,2048,4,4096,373.154
16,2048,4,8192,686.948
16,2048,4,16384,1160.74
16,2048,8,16,99.6697
16,2048,8,32,99.969
16,2048,8,64,101.068
16,2048,8,128,117.152
16,2048,8,256,135.884
16,2048,8,512,171.051
16,2048,8,1024,211.841
16,2048,8,2048,332.076
16,2048,8,4096,620.301
16,2048,8,8192,1151.83
16,2048,8,16384,2199.96
16,2048,16,16,130.71
16,2048,16,32,132.043
16,2048,16,64,133.206
16,2048,16,128,161.163
16,2048,16,256,186.391
16,2048,16,512,250.423
16,2048,16,1024,352.632
16,2048,16,2048,592.28
16,2048,16,4096,1172.31
16,2048,16,8192,2475.73
16,2048,16,16384,4663.78
16,2048,32,16,176.364
16,2048,32,32,178.742
16,2048,32,64,180.598
16,2048,32,128,233.175
16,2048,32,256,290.476
16,2048,32,512,419.224
16,2048,32,1024,698.095
16,2048,32,2048,1286.08
16,2048,32,4096,2796.31
16,2048,32,8192,5550.89
16,2048,32,16384,10906.2
16,2048,64,16,262.946
16,2048,64,32,268.599
16,2048,64,64,271.138
16,2048,64,128,381.432
16,2048,64,256,551.598
16,2048,64,512,882.693
16,2048,64,1024,1606.28
16,2048,64,2048,3116.89
16,2048,64,4096,6136.87
16,2048,64,8192,12226.3
16,2048,64,16384,24318.1
16,2048,128,16,393.805
16,2048,128,32,400.802
16,2048,128,64,456.664
16,2048,128,128,694.287
16,2048,128,256,973.841
16,2048,128,512,1648.79
16,2048,128,1024,3128.63
16,2048,128,2048,6145.18
16,2048,128,4096,12186.8
16,2048,128,8192,24266.5
16,2048,128,16384,48392.2
16,4096,0,0,119.318
16,4096,1,16,123.702
16,4096,1,32,123.713
16,4096,1,64,123.681
16,4096,1,128,123.616
16,4096,1,256,137.163
16,4096,1,512,134.849
16,4096,1,1024,135.179
16,4096,1,2048,137.825
16,4096,1,4096,136.481
16,4096,1,8192,254.391
16,4096,1,16384,500.163
16,4096,2,16,136.502
16,4096,2,32,136.459
16,4096,2,64,137.132
16,4096,2,128,140.608
16,4096,2,256,143.415
16,4096,2,512,150.966
16,4096,2,1024,166.881
16,4096,2,2048,198.679
16,4096,2,4096,258.508
16,4096,2,8192,493.091
16,4096,2,16384,964.187
16,4096,4,16,142.113
16,4096,4,32,141.515
16,4096,4,64,142.721
16,4096,4,128,148.545
16,4096,4,256,156.31
16,4096,4,512,171.937
16,4096,4,1024,201.378
16,4096,4,2048,261.751
16,4096,4,4096,380.803
16,4096,4,8192,724.101
16,4096,4,16384,1335.62
16,4096,8,16,156.214
16,4096,8,32,157.249
16,4096,8,64,157.238
16,4096,8,128,174.294
16,4096,8,256,193.228
16,4096,8,512,229.121
16,4096,8,1024,302.327
16,4096,8,2048,390.168
16,4096,8,4096,627.321
16,4096,8,8192,1214.71
16,4096,8,16384,2370.4
16,4096,16,16,187.105
16,4096,16,32,188.204
16,4096,16,64,189.569
16,4096,16,128,227.341
16,4096,16,256,258.445
16,4096,16,512,326.061
16,4096,16,1024,443.16
16,4096,16,2048,647.258
16,4096,16,4096,1129.35
16,4096,16,8192,2533.82
16,4096,16,16384,5027.34
16,4096,32,16,243.447
16,4096,32,32,246.861
16,4096,32,64,248.802
16,4096,32,128,309.015
16,4096,32,256,370.947
16,4096,32,512,510.959
16,4096,32,1024,802.671
16,4096,32,2048,1381.05
16,4096,32,4096,2716.96
16,4096,32,8192,5643.19
16,4096,32,16384,11123.4
16,4096,64,16,338.616
16,4096,64,32,342.04
16,4096,64,64,345.059
16,4096,64,128,459.011
16,4096,64,256,637.231
16,4096,64,512,973.607
16,4096,64,1024,1706.17
16,4096,64,2048,3159.8
16,4096,64,4096,6182.51
16,4096,64,8192,12261.8
16,4096,64,16384,24352
16,4096,128,16,503.247
16,4096,128,32,514.201
16,4096,128,64,536.975
16,4096,128,128,778.235
16,4096,128,256,1056.78
16,4096,128,512,1737.87
16,4096,128,1024,3192.93
16,4096,128,2048,6186.5
16,4096,128,4096,12227.6
16,4096,128,8192,24324.3
16,4096,128,16384,48449
16,8192,0,0,225.484
16,8192,1,16,234.156
16,8192,1,32,234.167
16,8192,1,64,233.975
16,8192,1,128,261.409
16,8192,1,256,257.399
16,8192,1,512,257.677
16,8192,1,1024,260.375
16,8192,1,2048,259.597
16,8192,1,4096,258.168
16,8192,1,8192,259.085
16,8192,1,16384,496.036
16,8192,2,16,253.015
16,8192,2,32,252.663
16,8192,2,64,253.666
16,8192,2,128,256.236
16,8192,2,256,260.375
16,8192,2,512,267.469
16,8192,2,1024,282.477
16,8192,2,2048,315.843
16,8192,2,4096,376.473
