pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.115,2
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.1126,2
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.1504,2
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.4349,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.5469,2
16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.4907,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.454,2
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.3578,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.6625,2
16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.1801,2
16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.1905,2
16,n<=32,sr<=70%,kvB<=4k,kp<=4k,0.1524,2
16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.1768,2
16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.1764,2
16,n<=32,sr<=70%,kvB<=4k,kp=0,0.336,2
16,n<=32,sr>70%,kvB<=16k,kp<=1k,0.1985,4
16,n<=32,sr>70%,kvB<=16k,kp<=2k,0.2288,4
16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.276,4
16,n<=32,sr>70%,kvB<=16k,kp<=512,0.2707,4
16,n<=32,sr>70%,kvB<=16k,kp<=8k,0.2371,4
16,n<=32,sr>70%,kvB<=16k,kp=0,0.3144,4
16,n<=32,sr>70%,kvB<=1k,kp<=1k,1.5071,4
16,n<=32,sr>70%,kvB<=1k,kp<=2k,1.3181,4
16,n<=32,sr>70%,kvB<=1k,kp<=4k,1.2621,4
16,n<=32,sr>70%,kvB<=1k,kp<=512,1.0293,4
16,n<=32,sr>70%,kvB<=1k,kp<=8k,1.1431,4
16,n<=32,sr>70%,kvB<=1k,kp=0,1.9467,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.3288,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.3904,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.4373,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.3842,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.4198,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.7032,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,0.1301,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,0.1599,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,0.1973,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,0.1069,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.2379,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.1223,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.0842,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,0.0597,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,0.1282,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.2736,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,0.0893,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.2604,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.2089,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,0.2327,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,-0.0351,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.1837,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,-0.022,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.1329,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,0.0963,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,0.054,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,0.1518,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,0.0497,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,0.2723,2
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.0558,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,0.0824,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,0.0623,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,0.1005,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.2837,2
